Groupe 1 : Bâtiments et Infrastructures Sportives;;;;;
Code;Désignation/Caractéristiques;Conditionnement;Minimum;Moyen;Maximum
03.1.1.5.1.0.056;Fourniture et pose de fenêtre métallique persienne avec grille de protection métallique 60x60  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;46 500;48 000;50 000
03.1.1.5.1.0.057;Fourniture et pose de fenêtre métallique persienne avec grille de protection métallique 60x80 à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;53 300;55 850;60 000
03.1.1.5.1.0.058;Fourniture et pose de fenêtre métallique persienne avec grille de protection métallique 80x80 à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;48 000;50 835;55 000
03.1.1.5.1.0.059;Fourniture et pose de fenêtre métallique persienne avec grille de protection métallique 120x120 à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;80 000;83 315;86 200
03.1.1.5.1.0.060;Fourniture et pose de fenêtre métallique persienne avec grille de protection métallique 120x150 à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;90 000;98 765;105 000
03.1.1.5.1.0.061;Fourniture et pose de fenêtre métallique persienne avec grille de protection métallique 340x40  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;70 000;72 000;74 000
03.1.1.5.1.0.063;Fourniture et pose de fenêtre métallique vitrée  60x80  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;55 000;56 700;60 000
03.1.1.5.1.0.064;Fourniture et pose de fenêtre métallique vitrée  80x80  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;68 250;68 850;70 000
03.1.1.5.1.0.065;Fourniture et pose de fenêtre métallique vitrée  120x120  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;125 000;130 000;135 000
03.1.1.5.1.0.066;Fourniture et pose de fenêtre métallique vitrée  120x150 à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;142 000;152 635;158 400
03.1.1.5.1.0.067;Fourniture et pose de fenêtre métallique vitrée  340x40  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;153 250;153 275;153 300
03.1.1.5.1.0.068;Fourniture et pose de fenêtre métallique vitrée 60x60 y compris grille de protection  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;55 000;58 000;60 000
03.1.1.5.1.0.069;Fourniture et pose de fenêtre métallique vitrée  60x80 y compris grille de protection  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;65 000;70 100;73 300
03.1.1.5.1.0.070;Fourniture et pose de fenêtre métallique vitrée  80x80 y compris grille de protection  à lame en feuille de tôle de;Unité;85 000;89 700;92 500
03.1.1.5.1.0.071;Fourniture et pose de fenêtre métallique vitrée  120x120 y compris grille de protection  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;150 000;157 600;162 800
03.1.1.5.1.0.072;Fourniture et pose de fenêtre métallique vitrée  120x150 y compris grille de protection  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;215 500;220 935;230 000
03.1.1.5.1.0.073;Fourniture et pose de fenêtre métallique vitrée  340x40 y compris grille de protection  à lame en feuille de tôle de 8/10éme et cadre H70,  y compris tous accessoires de fonctionnement et toutes sujétions;Unité;155 000;156 665;158 500
03.1.1.5.1.0.074;Fourniture et pose de Portes métalliques persiennes de 80 x 220 y compris cadre métallique H70;Unité;87 500;90 935;92 800
03.1.1.5.1.0.075;Fourniture et pose de Portes métalliques persiennes de 90 x 220 y compris cadre métallique H70;Unité;90 000;98 435;102 800
03.1.1.5.1.0.076;Fourniture et pose de Portes métalliques persiennes de 120 x 220 y compris cadre métallique H70;Unité;120 000;128 435;132 800
03.1.1.5.1.0.077;Fourniture et pose de Portes métalliques persiennes de 140 x 220 y compris cadre métallique H70;Unité;125 000;136 765;142 800
03.1.1.5.1.0.078;Fourniture et pose de Portes métalliques persiennes faces de 150x 220 y compris cadre métallique H70;Unité;147 500;150 935;152 800
03.1.1.5.1.0.079;Fourniture et pose de Portes métalliques pleines double faces de 80 x 220 y compris cadre métallique H70;Unité;107 500;110 100;115 000
03.1.1.5.1.0.080;Fourniture et pose de Portes métalliques pleines double faces de 90 x 220 y compris cadre métallique H70;Unité;118 900;122 965;130 000
03.1.1.5.1.0.082;Fourniture et pose de Portes métalliques pleines double faces de 140 x 220 y compris cadre métallique H70;Unité;162 400;166 635;175 000
03.1.1.5.1.0.083;Fourniture et pose de Portes métalliques pleines double faces de 150x 220 y compris cadre métallique H70;Unité;173 600;176 200;180 000
03.1.1.5.1.0.084;Fourniture et pose de Porte  métallique vitrée de 80x220 y compris cadre métallique H70;Unité;105 000;108 650;111 250
03.1.1.5.1.0.085;Fourniture et pose de Porte  métallique vitrée de 90x220 y compris cadre métallique H70;Unité;121 200;127 985;140 000
03.1.1.5.1.0.086;Fourniture et pose de Porte  métallique vitrée de 120x220 y compris cadre métallique H70;Unité;150 000;152 215;153 750
03.1.1.5.1.0.087;Fourniture et pose de Porte  métallique vitrée de 140x220 y compris cadre métallique H70;Unité;170 000;173 465;175 400
03.1.1.5.1.0.088;Fourniture et pose de Porte  métallique vitrée de 150x220 y compris cadre métallique H70;Unité;175 000;182 065;186 200
03.1.1.5.1.0.089;Fourniture et pose de Porte grille métallique  de 80x220 y compris cadre métallique H70;Unité;77 400;79 965;85 000
03.1.1.5.1.0.090;Fourniture et pose de Porte grille métallique  de 90x220 y compris cadre métallique H70;Unité;85 600;87 700;90 000
03.1.1.5.1.0.091;Fourniture et pose de Porte grille métallique  de 120x220 y compris cadre métallique H70;Unité;105 600;110 615;120 000
03.1.1.5.1.0.092;Fourniture et pose de Porte grille métallique  de 140x220 y compris cadre métallique H70;Unité;122 400;128 715;140 000
03.1.1.5.1.0.093;Fourniture et pose de Porte grille métallique  de 150x220 y compris cadre métallique H70;Unité;131 400;138 800;145 000
03.1.1.5.2;MENUISERIE ALUMINIUM;;;;
03.1.1.5.2.0.002;Fourniture et pose de grille de protection alu de 100 x 60, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;35 000;38 500;40 500
03.1.1.5.2.0.003;Fourniture et pose de grille de protection alu de 120x 120, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;47 100;48 250;50 000
03.1.1.5.2.0.004;Fourniture et pose de grille de protection alu de 170 x 120, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;53 500;55 750;60 000
03.1.1.5.2.0.005;Fourniture et pose de grille de protection alu de 180 x 120, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;58 200;59 200;60 000
03.1.1.5.2.0.006;Fourniture et pose de grille de protection alu de 200 x 120, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;64 350;68 285;75 000
03.1.1.5.2.0.007;Fourniture et pose de grille de protection alu de 210 x 120, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;80 500;83 750;90 000
03.1.1.5.2.0.008;Fourniture et pose de grille de protection alu de 220 x 120, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;90 300;91 950;95 000
03.1.1.5.2.0.009;Fourniture et pose de grille de protection alu de 250 x 120, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;92 800;95 600;100 000
03.1.1.5.2.0.011;Fourniture et pose de grille de protection alu de 300 x 120, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;106 350;107 915;110 000
03.1.1.5.2.0.012;Fourniture et pose de grille de protection alu de 385 x 120, épaisseur du profilé 1,8mm, surface anodisée et raccordement divers;Unité;114 100;118 065;125 000
03.1.1.5.2.0.013;Fourniture et pose de fenêtre alu vitrée coulissante de 60 x 60, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;80 000;81 135;82 000
03.1.1.5.2.0.014;Fourniture et pose de fenêtre alu vitré coulissante de 100 x 60, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;88 700;91 235;95 000
03.1.1.5.2.0.015;Fourniture et pose de fenêtre  alu vitré coulissante  de 120x120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;115 000;116 335;117 500
03.1.1.5.2.0.016;Fourniture et pose de fenêtre alu vitré coulissante  de 170 x 120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;135 000;140 735;143 700
03.1.1.5.2.0.017;Fourniture et pose de fenêtre alu vitrée coulissante de 180x120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;145 000;146 410;149 125
03.1.1.5.2.0.018;Fourniture et pose de fenêtre alu vitré coulissante  de 200 x 120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;155 000;156 965;160 000
03.1.1.5.2.0.019;Fourniture et pose de fenêtre alu vitré coulissante  de 210 x 120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;160 000;162 965;165 000
03.1.1.5.2.0.021;Fourniture et pose de fenêtre alu vitré coulissante  de 250 x 120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;169 500;171 435;175 000
03.1.1.5.2.0.022;Fourniture et pose de fenêtre alu vitré coulissante  de 285 x 120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;177 000;182 300;190 000
03.1.1.5.2.0.023;Fourniture et pose de fenêtre alu vitré coulissante  de 300 x 120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;189 125;196 675;210 000
03.1.1.5.2.0.024;Fourniture et pose de fenêtre alu vitré coulissante  de 385 x 120,  épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;207 000;219 065;240 000
03.1.1.5.2.0.025;Fourniture et pose de fenêtre alu vitrée coulissante de 60 x 60 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;102 000;106 385;109 900
03.1.1.5.2.0.026;Fourniture et pose de fenêtre alu vitré coulissante de 100 x 60 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;114 000;117 335;120 000
03.1.1.5.2.0.027;Fourniture et pose de fenêtre  alu vitré coulissante  de 120x120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;155 650;159 415;165 000
03.1.1.5.2.0.028;Fourniture et pose de fenêtre alu vitré coulissante  de 170 x 120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;183 900;187 965;195 000
03.1.1.5.2.0.030;Fourniture et pose de fenêtre alu vitré coulissante  de 200 x 120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;239 300;242 050;245 000
03.1.1.5.2.0.031;Fourniture et pose de fenêtre alu vitré coulissante  de 210 x 120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;246 200;250 900;260 000
03.1.1.5.2.0.032;Fourniture et pose de fenêtre alu vitré coulissante  de 220 x 120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;260 000;275 715;284 150
03.1.1.5.2.0.033;Fourniture et pose de fenêtre alu vitré coulissante  de 250 x 120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;290 000;296 950;301 550
03.1.1.5.2.0.034;Fourniture et pose de fenêtre alu vitré coulissante  de 285 x 120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;315 300;318 915;325 000
03.1.1.5.2.0.035;Fourniture et pose de fenêtre alu vitré coulissante  de 300 x 120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;327 700;335 515;350 000
03.1.1.5.2.0.036;Fourniture et pose de fenêtre alu vitré coulissante  de 385 x 120 y compris grille de protection, épaisseur du profilé 1,8mm, surface anodisée, vitrage antélio;Unité;342 500;358 965;390 000
03.1.1.5.2.0.037;Fourniture et pose de Porte alu vitrée de 80x220 cm;Unité;120 000;131 100;137 500
03.1.1.5.2.0.038;Fourniture et pose de Porte alu vitrée de 90x220 cm;Unité;135 000;143 335;147 500
03.1.1.5.2.0.039;Fourniture et pose de Porte alu vitrée de 120x220 cm;Unité;165 000;175 665;182 500
03.1.1.5.2.0.040;Fourniture et pose de Porte alu vitrée de 140x220 cm;Unité;198 000;204 265;207 500
03.1.1.5.2.0.041;Fourniture et pose de Porte alu vitrée de 150x220 cm;Unité;210 000;225 265;233 300
03.1.1.5.3.0.001;Fourniture et pose de porte isoplane en contreplaqué de 5mm de 60x220 cm;Unité;60 000;65 835;70 000
03.1.1.5.3.0.002;Fourniture et pose de Porte isoplane en contreplaqué de 5mm de 70x220 cm;Unité;70 000;75 835;80 000
03.1.1.5.3.0.003;Fourniture et pose de Porte isoplane en contreplaqué de 5mm de 80x220 cm;Unité;80 000;85 835;90 000
03.1.1.5.3.0.004;Fourniture et pose de Porte isoplane en contreplaqué de 5mm de 90x220 cm;Unité;95 000;100 835;105 000
03.1.1.5.3.0.005;Fourniture et pose de Porte isoplane en contreplaqué de 5mm de 120x220 cm;Unité;105 000;110 835;115 000
03.1.1.5.3.0.006;Fourniture et pose de Porte isoplane en contreplaqué de 5mm de 120x220 cm va et vient;Unité;120 000;125 835;130 000
03.1.1.5.3.0.007;Fourniture et pose de Porte isoplane capitonnée 70/220 cm;Unité;150 000;155 835;160 000
03.1.1.5.3.0.008;Fourniture et pose de Porte isoplane capitonnée 80/220 cm;Unité;180 000;185 835;190 000
03.1.1.5.3.0.009;Fourniture et pose de Porte isoplane capitonnée 90/220 cm;Unité;210 000;215 835;220 000
03.1.1.5.3.0.010;Fourniture et pose de Porte isoplane capitonnée 120/220 cm;Unité;240 000;245 835;250 000
03.1.1.5.3.0.011;Fourniture et pose de armoire en bois incorporé  y compris toute sujétion;m2;48 000;51 940;55 194
03.1.1.5.3.0.012;Fourniture et pose de Porte en bois massif  70/220 cm;Unité;200 000;205 835;210 000
03.1.1.5.3.0.013;Fourniture et pose de Porte en bois massif  80/220 cm;Unité;207 500;213 335;217 500
03.1.1.5.3.0.014;Fourniture et pose de Porte en bois massif  90/220 cm;Unité;215 000;220 835;225 000
03.1.1.5.3.0.015;Fourniture et pose de Porte en bois massif 120/220 cm;Unité;222 500;228 335;232 500
03.1.1.5.3.0.016;Fourniture et pose de Porte en bois massif  80/220 cm y compris cadre en bois;Unité;247 500;253 335;257 500
03.1.1.5.3.0.017;Fourniture et pose de Porte en bois massif  90/220 cm y compris cadre en bois;Unité;257 500;263 335;267 500
03.1.1.5.3.0.018;Fourniture et pose de Porte en bois massif 120/220 cm y compris cadre en bois;Unité;267 500;273 335;277 500
03.1.1.5.3.0.020;Fourniture et pose de faux plafond en contre-plaqué de 5 mm y compris toute sujétion en maille de 120x120 cm;m²;11 250;12 315;13 500
03.1.1.5.3.0.021;Fourniture et pose de faux plafond en contre-plaqué de 10 mm  y compris toute sujétion en maille de 60x60 cm;m²;16 750;17 815;19 000
03.1.1.5.3.0.022;Fourniture et pose de faux plafond en contre-plaqué de 10 mm  y compris toute sujétion en maille de 120x120 cm;m²;15 750;16 815;18 000
03.1.1.5.3.0.023;Fourniture et pose de faux plafond en lambris en bois y compris toute sujétion;m²;24 250;25 315;26 500
03.1.1.5.4;MENUISERIE PLASTIQUE ET AUTRES;;;;
03.1.1.5.4.0.001;Fourniture et pose de faux plafond en staff y compris toute sujétion;m²;13 000;13 450;13 750
03.1.1.5.4.0.002;Fourniture et pose de faux plafond en lambris en PVC y compris toute sujétion;m²;14 000;14 500;15 000
03.1.1.5.4.0.003;Fourniture et pose de faux plafond suspendu en plaque de plâtre y compris toute sujétion;m²;15 500;15 665;16 000
03.1.1.5.4.0.004;Fourniture et pose de faux plafond suspendu en plaque de PVC y compris toute sujétion;m²;26 000;27 835;30 000
03.1.1.5.4.0.005;Fourniture et pose de faux plafond en panneau sandwich y compris toute sujétion;m²;48 000;51 835;55 000
03.1.1.5.4.0.006;Fourniture et pose de faux plafond en translucide y compris toute sujétion;m²;20 250;21 085;22 500
03.1.1.5.4.0.007;Fourniture et pose de plaque signalétique fixe de porte en plexi glace;Unité;17 500;18 835;20 000
03.1.1.5.4.0.008;Fourniture et pose de plaque signalétique amovible de porte en plexi glace avec support fixe en aluminium;Unité;22 500;23 500;25 000
03.1.1.6;ELECTRICITE CLIMATISATION;;;;
03.1.1.6.1;ALIMENTATION ELECTRIQUE;;;;
03.1.1.6.1.0.002;Fourniture et pose de câble U1000 R02V Cu busé avec PVC 4x16mm² y compris tranchée, lit de sable et grillage avertisseur;ml;11 500;12 335;13 000
03.1.1.6.1.0.003;Fourniture et pose de câble U1000 R02V Cu busé avec PVC 4x32mm² y compris tranchée, lit de sable et grillage avertisseur;ml;18 000;19 250;20 000
03.1.1.6.1.0.004;Fourniture et pose de câble armé U1000 R02V Cu de 4x32mm² y compris tranchée, lit de sable et grillage avertisseur;ml;22 000;22 585;23 000
03.1.1.6.1.0.005;Fourniture et pose de câble U1000 R02V Cu busé avec PVC 160 de 4x64mm² y compris tranchée, lit de sable et grillage avertisseur;ml;62 500;63 665;65 000
03.1.1.6.1.0.006;Ensemble fourreautage en tube ICT (tube orange ou gorgé) de section 9mm² pour la réalisation  du réseau électrique;ml;2 000;2 085;2 150
03.1.1.6.1.0.007;Ensemble fourreautage en tube ICT (tube orange ou gorgé) de section 11mm² pour la réalisation  du réseau électrique;ml;2 750;2 850;3 000
03.1.1.6.1.0.008;Ensemble fourreautage en tube ICT (tube orange ou gorgé) de section 16mm² pour la réalisation du réseau électrique;ml;1 250;1 365;1 500
03.1.1.6.1.0.009;Ensemble fourreautage en tube ICT (tube orange ou gorgé) de section 20mm² pour la réalisation du réseau électrique;ml;1 500;1 635;1 750
03.1.1.6.1.0.010;Ensemble fourreautage en tube ICT (tube orange ou gorgé) de section 25mm² pour la réalisation du réseau électrique;ml;1 600;1 650;1 750
03.1.1.6.1.0.011;Ensemble fourreautage en tube ICT (tube orange ou gorgé) de section 32mm² pour la réalisation du réseau électrique;ml;1 750;1 850;2 000
03.1.1.6.1.0.012;Installation fil électrique de section 1,5 mm² pour luminaire y compris boite de dérivation;ml;1 250;1 365;1 500
03.1.1.6.1.0.014;Installation fil électrique de section 2x2,5 mm² pour prise y compris boite de dérivation;ml;2 200;2 350;2 500
03.1.1.6.1.0.015;Installation fil électrique de section 3x1,5 mm² pour luminaire y compris boite de dérivation;ml;2 200;2 350;2 500
03.1.1.6.1.0.016;Installation fil électrique de section 3x2,5 mm² pour prise y compris boite de dérivation;ml;2 200;2 350;2 500
03.1.1.6.1.0.017;Installation fil électrique de section 3x4 mm² pour climatiseur, split y compris boite de dérivation;ml;3 000;3 250;3 500
03.1.1.6.1.0.018;Installation fil électrique de section 5x4 mm² pour climatiseur armoire y compris boite de dérivation;ml;5 375;5 590;6 000
03.1.1.6.1.0.019;Installation câble électrique de section 2x2,5 mm² pour prise y compris boite de dérivation;ml;3 875;3 925;4 000
03.1.1.6.1.0.020;Installation câble électrique de section 3x1,5 mm² pour luminaire y compris boite de dérivation;ml;3 500;3 765;4 000
03.1.1.6.1.0.021;Installation câble électrique de section 3x2,5 mm² pour prise y compris boite de dérivation;ml;4 250;4 585;5 000
03.1.1.6.1.0.022;Installation câble électrique de section 3x4 mm² pour climatiseur, split y compris boite de dérivation;ml;4 300;4 565;5 000
03.1.1.6.1.0.023;Installation câble électrique de section 5x4 mm² pour climatiseur armoire y compris boite de dérivation;ml;5 275;5 525;6 000
03.1.1.6.1.0.024;Mise à la terre en câblage de cuivre de 10 mm² y compris fouille, piquet de terre et toutes sujétion de pose;ml;8 900;9 300;10 000
03.1.1.6.1.0.025;Mise à la terre en câblage de cuivre de 25 mm² y compris fouille, piquet de terre et toutes sujétion de pose;ml;9 700;9 840;10 000
03.1.1.6.1.0.026;Mise à la terre en câblage de cuivre de 35 mm² y compris fouille, piquet de terre et toutes sujétion de pose;ml;10 800;11 440;12 500
03.1.1.6.1.0.028;Coffret métallique électrique de 24 modules en sallie équipé y compris toutes sujétions;Unité;560 000;583 335;600 000
03.1.1.6.1.0.029;Coffret métallique électrique de 36 modules en sallie équipé y compris toutes sujétions;Unité;675 000;685 000;700 000
03.1.1.6.1.0.030;Coffret métallique électrique de 64 modules en sallie équipé y compris toutes sujétions;Unité;1 150 000;1 250 000;1 350 000
03.1.1.6.1.0.031;Coffret électrique de 12 modules de métallique encastré équipé y compris toutes sujétions;Unité;215 000;230 000;250 000
03.1.1.6.1.0.032;Coffret métallique électrique de 24 modules encastré équipé y compris toutes sujétions;Unité;438 100;463 535;500 000
03.1.1.6.1.0.033;Coffret  métallique électrique de 36 modules encastré équipé y compris toutes sujétions;Unité;850 000;933 335;1 000 000
03.1.1.6.1.0.034;Coffret métallique électrique de 64 modules encastré équipé y compris toutes sujétions;Unité;1 150 000;1 250 000;1 350 000
03.1.1.6.1.0.035;Fourniture et pose d'armoire  métallique électrique de 96 modules en sallie équipée;Unité;2 167 400;2 280 800;2 500 000
03.1.1.6.1.0.036;Fourniture et pose d'armoire métallique électrique 120 modules en sallie équipée;Unité;2 600 000;2 750 000;3 000 000
03.1.1.6.1.0.037;Fourniture et pose d'armoire métallique électrique 96 modules encastré  équipée;Unité;2 750 000;2 900 000;3 150 000
03.1.1.6.1.0.038;Fourniture et pose d'armoire métallique électrique 120 modules encastré équipée;Unité;2 800 000;2 950 000;3 200 000
03.1.1.6.2;APPAREILLAGES ELECTRIQUES;;;;
03.1.1.6.2.0.001;Fourniture et pose bouton poussoir y compris toutes sujétions de pose;Unité;4 250;4 565;5 000
03.1.1.6.2.0.002;Fourniture et pose  interrupteur double allumage y compris toutes sujétions de pose;Unité;4 250;4 565;5 000
03.1.1.6.2.0.004;Fourniture et pose  interrupteur Va et Vient y compris toutes sujétions de pose;Unité;4 250;4 565;5 000
03.1.1.6.2.0.005;Fourniture et pose interrupteur étanche  y compris toutes sujétions de pose;Unité;4 250;4 565;5 000
03.1.1.6.2.0.006;Fourniture et pose interrupteur crépusculaire y compris toutes sujétions de pose;Unité;4 250;4 565;5 000
03.1.1.6.2.0.007;Fourniture et pose télérupteur;Unité;4 250;4 565;5 000
03.1.1.6.2.0.008;Fourniture et pose  lampe à grille 60 LED de 18W;Unité;14 000;14 575;15 000
03.1.1.6.2.0.009;Fourniture et pose  lampe à grille 60 fluorescent;Unité;14 000;14 575;15 000
03.1.1.6.2.0.010;Fourniture et pose  luminaire réglette complète  60  LED de 18W;Unité;10 500;11 000;12 000
03.1.1.6.2.0.011;Fourniture et pose  luminaire réglette complète  60 étanche LED de 18W;Unité;10 500;11 000;12 000
03.1.1.6.2.0.012;Fourniture et pose  luminaire réglette complète  60 LED de 20W;Unité;10 500;11 000;12 000
03.1.1.6.2.0.013;Fourniture et pose  luminaire réglette complète  60 étanche LED de 20W;Unité;10 500;11 000;12 000
03.1.1.6.2.0.014;Fourniture et pose  luminaire réglette complète  60 LED de 22W;Unité;10 500;11 000;12 000
03.1.1.6.2.0.015;Fourniture et pose  luminaire réglette complète  60 étanche LED de 22W;Unité;10 500;11 000;12 000
03.1.1.6.2.0.016;Fourniture et pose  luminaire réglette complète duo 60 LED de 18W;Unité;15 000;16 000;17 500
03.1.1.6.2.0.017;Fourniture et pose  luminaire réglette complète  120 LED de 18W;Unité;14 000;14 625;15 000
03.1.1.6.2.0.018;Fourniture et pose  luminaire réglette complète  120 étanche LED de 18W;Unité;14 000;14 625;15 000
03.1.1.6.2.0.020;Fourniture et pose  luminaire réglette complète  120 étanche LED de 20W;Unité;14 000;14 625;15 000
03.1.1.6.2.0.021;Fourniture et pose  luminaire réglette complète  120 LED de 22W;Unité;13 750;14 185;15 000
03.1.1.6.2.0.022;Fourniture et pose  luminaire réglette complète  120 étanche LED de 22W;Unité;14 000;14 335;15 000
03.1.1.6.2.0.023;Fourniture et pose  luminaire réglette complète duo 120 LED de 18W;Unité;15 000;16 285;17 250
03.1.1.6.2.0.024;Fourniture et pose  luminaire réglette complète  60 fluorescent;Unité;11 100;11 700;12 500
03.1.1.6.2.0.025;Fourniture et pose  luminaire réglette complète  60 étanche fluorescent;Unité;12 500;12 990;13 375
03.1.1.6.2.0.026;Fourniture et pose  luminaire réglette complète  120 fluorescent;Unité;12 500;13 385;13 900
03.1.1.6.2.0.027;Fourniture et pose  luminaire réglette complète  120 étanche fluorescent;Unité;13 000;14 000;14 500
03.1.1.6.2.0.028;Fourniture et pose luminaire avec système de détection de présence y compris toutes sujétions de pose;Unité;17 500;19 165;20 000
03.1.1.6.2.0.029;Fourniture et pose  lustre  y compris toutes sujétions de pose;Unité;132 500;139 535;150 000
03.1.1.6.2.0.030;Fourniture et pose  poste  téléphonique  y compris toutes sujétions de pose;Unité;37 500;40 000;42 500
03.1.1.6.2.0.031;Fourniture et pose  prises  courant 2P +T;Unité;3 000;3 250;3 500
03.1.1.6.2.0.032;Fourniture et pose  prises  courant 2P +T  10/16A;Unité;3 000;3 250;3 500
03.1.1.6.2.0.033;Fourniture et pose spot lumineux 6W;Unité;10 500;11 415;12 500
03.1.1.6.2.0.034;Fourniture et pose spot lumineux 9W;Unité;12 500;13 415;14 500
03.1.1.6.2.0.035;Fourniture et pose spot lumineux 12W;Unité;14 000;14 915;16 000
03.1.1.6.2.0.036;Fourniture et pose spot lumineux 18W;Unité;15 500;16 415;17 500
03.1.1.6.2.0.038;Fourniture et pose applique mural extérieur y compris luminaire;Unité;22 500;24 100;25 000
03.1.1.6.2.0.039;Fourniture et pose applique mural intérieur y compris luminaire;Unité;22 500;24 100;25 000
03.1.1.6.2.0.040;Fourniture et pose applique sanitaire mural y compris luminaire;Unité;12 500;13 665;15 000
03.1.1.6.2.0.041;Fourniture et pose brasseur d'air + rhéostat;Unité;45 000;46 865;50 000
03.1.1.6.2.0.042;Fourniture et pose ventilateur plafonnier;Unité;25 000;27 500;30 000
03.1.1.6.3;APPAREILS DE CLIMATISATION;;;;
03.1.1.6.3.0.001;Fourniture et pose climatiseur split système 1 CV  y compris toute sujétion  de pose;Unité;183 700;190 255;200 000
03.1.1.6.3.0.002;Fourniture et pose climatiseur split système 1,5 CV  y compris toute sujétion  de pose;Unité;200 000;209 545;225 000
03.1.1.6.3.0.003;Fourniture et pose climatiseur split système 2 CV  y compris toute sujétion  de pose;Unité;225 000;242 440;250 000
03.1.1.6.3.0.004;Fourniture et pose climatiseur split système 2,5 CV  y compris toute sujétion  de pose;Unité;275 000;297 500;325 000
03.1.1.6.3.0.005;Fourniture et pose climatiseur split système 3 CV  y compris toute sujétion  de pose;Unité;325 000;343 750;375 000
03.1.1.6.3.0.006;Fourniture et pose de climatiseur armoire 5 CV  y compris toute sujétion  de pose;Unité;415 000;447 500;485 000
03.1.1.6.3.0.007;Fourniture et pose climatiseur rooftop système 5 CV y compris toute sujétion  de pose;Unité;715 000;731 250;750 000
03.1.1.6.3.0.008;Fourniture et pose climatiseur split système type économique 1 CV  y compris toute sujétion  de pose;Unité;345 000;354 450;375 000
03.1.1.6.3.0.009;Fourniture et pose climatiseur split système  type économique1,5 CV  y compris toute sujétion  de pose;Unité;356 600;365 090;380 000
