Groupe 1 : Bâtiments et Infrastructures Sportives;;;;;
Code;Désignation/Caractéristiques;;Minimum;Moyen;Maximum
03.1.1.6.0.134;Fourniture et pose  luminaire réglette complète  120 LED de 22W;Unité;12 500;15 000;17 500
03.1.1.6.0.135;Fourniture et pose  luminaire réglette complète  120 étanche LED de 22W;Unité;17 500;20 835;25 000
03.1.1.6.0.136;Fourniture et pose  luminaire réglette complète  60 LED de 22W;Unité;10 000;12 500;15 000
03.1.1.6.0.137;Fourniture et pose  luminaire réglette complète  60 étanche LED de 22W;Unité;16 000;20 000;22 500
03.1.1.6.0.138;Fourniture et pose  luminaire réglette complète  120 LED de 20W;Unité;12 500;15 000;17 500
03.1.1.6.0.139;Fourniture et pose  luminaire réglette complète  120 étanche LED de 20W;Unité;17 500;20 835;25 000
03.1.1.6.0.140;Fourniture et pose  luminaire réglette complète  60 LED de 20W;Unité;10 000;12 500;15 000
03.1.1.6.0.141;Fourniture et pose  luminaire réglette complète  60 étanche LED de 20W;Unité;17 500;20 000;22 500
03.1.1.6.0.142;Fourniture et pose  luminaire réglette complète  120 LED de 18W;Unité;10 000;12 500;15 000
03.1.1.6.0.143;Fourniture et pose  luminaire réglette complète  120 étanche LED de 18W;Unité;17 500;20 000;22 500
03.1.1.6.0.144;Fourniture et pose  luminaire réglette complète  60  LED de 18W;Unité;10 000;12 500;15 000
03.1.1.6.0.145;Fourniture et pose  luminaire réglette complète  60 étanche LED de 18W;Unité;15 000;17 500;20 000
03.1.1.6.0.146;Fourniture et pose  luminaire réglette complète duo 120 LED de 18W;Unité;20 000;25 000;30 000
03.1.1.6.0.147;Fourniture et pose  luminaire réglette complète duo 60 LED de 18W;Unité;15 000;18 335;22 500
03.1.1.6.0.148;Fourniture et pose  lampe à grille 60 LED de 18W;Unité;45 000;51 665;60 000
03.1.1.6.0.149;Fourniture et pose  lampe à grille 60 fluorescent;Unité;35 000;42 500;50 000
03.1.1.6.0.150;Fourniture et pose  luminaire réglette complète  120 fluorescent;Unité;10 000;12 500;15 000
03.1.1.6.0.151;Fourniture et pose  luminaire réglette complète  120 étanche fluorescent;Unité;17 500;20 000;22 500
03.1.1.6.0.152;Fourniture et pose  luminaire réglette complète  60 fluorescent;Unité;10 000;12 500;15 000
03.1.1.6.0.153;Fourniture et pose  luminaire réglette complète  60 étanche fluorescent;Unité;15 000;17 500;20 000
03.1.1.6.0.154;Fourniture et pose luminaire type solaire;Unité;90 000;105 000;120 000
03.1.1.6.0.155;Fourniture et pose luminaire avec système de détection de présence y compris toutes sujétions de pose;Unité;125 000;151 665;180 000
03.1.1.6.0.156;Fourniture et pose  lustre  y compris toutes sujétions de pose;Unité;250 000;316 665;400 000
03.1.1.6.0.157;Fourniture et pose  poste  téléphonique  y compris toutes sujétions de pose;Unité;65 000;83 335;100 000
03.1.1.6.0.158;Fourniture et pose  prises  courant 2P +T;Unité;5 000;6 000;7 000
03.1.1.6.0.159;Fourniture et pose  prises  courant 2P +T  10/16A;Unité;5 000;6 000;7 000
03.1.1.6.0.160;Fourniture et pose  prises  téléphonique  y compris toutes sujétions de pose;Unité;5 750;7 250;9 000
03.1.1.6.0.161;Fourniture et pose  prises  télévision  y compris toutes sujétions de pose;Unité;5 750;7 250;9 000
03.1.1.6.0.162;Fourniture et pose  prises informatiques RJ 45 complète  y compris toutes sujétions de pose;Unité;35 000;45 000;55 000
03.1.1.6.0.163;Fourniture et pose spot lumineux 6W;Unité;10 000;12 665;15 000
03.1.1.6.0.164;Fourniture et pose spot lumineux 9W;Unité;10 000;12 665;15 000
03.1.1.6.0.165;Fourniture et pose spot lumineux 12W;Unité;12 500;15 835;20 000
03.1.1.6.0.166;Fourniture et pose spot lumineux 18W;Unité;17 500;20 835;25 000
03.1.1.6.0.167;Fourniture et pose  vasque encastrable;Unité;35 000;41 665;50 000
03.1.1.6.0.168;Fourniture, installation, branchement , fourreaux, accessoires d'installation du réseau informatique y compris toutes sujétions;Ensemble;750 000;866 665;1 000 000
03.1.1.6.0.169;Fourniture, installation, branchement des  accessoires d'installation du réseau téléphonique y compris toutes sujétions;Ensemble;750 000;866 665;1 000 000
03.1.1.7;INCENDIE SECURITE;;;;
03.1.1.7.0.001;Fourniture et pose  RIA DN 33x30 m;Unité;500 000;600 000;700 000
03.1.1.7.0.002;Fourniture et pose  surpresseur incendie;Unité;4 500 000;5 833 335;7 500 000
03.1.1.7.0.003;Fourniture et pose bloc autonome  d'éclairage d'ambiances de 360 lumens autonomie 1h;Unité;150 000;183 335;225 000
03.1.1.7.0.004;Fourniture et pose bloc autonome  d'éclairage de sécurité avec étiquette 60 lumens autonomie 1h;Unité;75 000;93 335;115 000
03.1.1.7.0.005;Fourniture et pose de tableau de détection incendie conventionnelle, 2 zones;Unité;525 000;665 000;850 000
03.1.1.7.0.006;Fourniture et pose de tableau de détection incendie conventionnelle, 4 zones;Unité;900 000;1 162 500;1 500 000
03.1.1.7.0.007;Fourniture et pose de tableau de détection incendie conventionnelle, 8 zones;Unité;1 250 000;1 600 000;2 000 000
03.1.1.7.0.008;Fourniture et pose de tableau de détection incendie adressable 1 boucle y compris accessoires, batterie incluses;Unité;750 000;962 500;1 200 000
03.1.1.7.0.009;Fourniture et pose de tableau de détection incendie adressable 4 boucles y compris accessoires, batterie incluses;Unité;1 750 000;2 187 500;2 750 000
03.1.1.7.0.010;Fourniture et pose de tableau de détection incendie adressable 8 boucles y compris accessoires, batterie incluses;Unité;2 250 000;2 925 000;3 750 000
03.1.1.7.0.011;Fourniture et pose de détecteur  optique de fumée;Unité;150 000;193 750;250 000
03.1.1.7.0.012;Fourniture et pose de déclencheur manuel;Unité;175 000;223 000;275 000
03.1.1.7.0.013;Fourniture et pose d'indicateur  d'action;Unité;175 000;223 000;275 000
03.1.1.7.0.014;Fourniture et pose d'avertisseur sonore;Unité;175 000;223 000;275 000
03.1.1.7.0.015;Fourniture et pose de câble C2 1 paire 9/10ème pour le câblage des déclencheurs manuels , détecteurs de fumée et des indicateurs d'action;ml;7 500;9 000;10 000
03.1.1.7.0.016;Fourniture et pose de câble résistant au feu CR1 2x1.5 mm² pour le câblage des diffuseurs sonores;ml;9 500;12 335;15 000
03.1.1.7.0.017;Ensemble fourreautage en tube ICT pour la réalisation complète du réseau de détection incendie;Ensemble;550 000;710 000;900 000
03.1.1.7.0.018;Fourniture et pose extincteur sur roue à poudre polyvalent ABC de 5 kg;Unité;150 000;192 400;250 000
03.1.1.7.0.019;Fourniture et pose extincteur sur roue à poudre polyvalent ABC de 10 kg;Unité;250 000;316 665;400 000
03.1.1.7.0.020;Fourniture et pose extincteur sur roue à poudre polyvalent ABC de 15 kg;Unité;350 000;433 335;550 000
03.1.1.7.0.021;Fourniture et pose extincteur sur roue à poudre polyvalent ABC de 20 kg;Unité;450 000;581 250;750 000
03.1.1.7.0.022;Fourniture et pose extincteur sur roue à poudre polyvalent ABC de 50 kg;Unité;650 000;816 665;1 000 000
03.1.1.7.0.023;Fourniture et pose extincteur sur roue à pulvérisée eau de 5 l;Unité;150 000;192 400;250 000
03.1.1.7.0.024;Fourniture et pose extincteur sur roue à eau pulvérisée de 10 l;Unité;225 000;280 000;350 000
03.1.1.7.0.025;Fourniture et pose extincteur sur roue à eau pulvérisée de 15 l;Unité;450 000;581 250;750 000
03.1.1.7.0.026;Fourniture et pose extincteur sur roue à eau pulvérisée de 20 l;Unité;525 000;660 000;800 000
03.1.1.7.0.027;Fourniture et pose extincteur sur roue à eau pulvérisée de 50 l;Unité;650 000;816 665;1 000 000
03.1.1.7.0.028;Fourniture et pose extincteur portatif à eau pulvérisée de 6 l;Unité;17 500;20 835;25 000
03.1.1.7.0.029;Fourniture et pose extincteur portatif à eau pulvérisée de 9kg;Unité;125 000;158 335;200 000
03.1.1.7.0.030;Fourniture et pose extincteur portatif  à poudre polyvalent ABC de 6kg;Unité;65 000;83 335;100 000
03.1.1.7.0.031;Fourniture et pose extincteur portatif à poudre polyvalent ABC de 9kg;Unité;90 000;116 250;150 000
03.1.1.7.0.032;Fourniture et pose extincteur portatif  au dioxyde de carbone C02 de 6kg;Unité;90 000;116 250;150 000
03.1.1.7.0.033;Fourniture et pose extincteur portatif  au dioxyde de carbone C02 de 9kg;Unité;125 000;150 000;175 000
03.1.1.7.0.034;Fourniture et pose de panneau de consigne de sécurité incendie;Unité;350 000;416 665;500 000
03.1.1.7.0.035;Fourniture et pose de plan d'évacuation et d'intervention format A3 rigide résistant à l'eau;Unité;550 000;712 500;900 000
03.1.1.8;PLOMBERIE SANITAIRE;;;;
03.1.1.8.0.001;Dispositif métallique  pour lave main;Unité;25 000;31 665;40 000
03.1.1.8.0.002;Dispositif en Béton armé pour lave main;Unité;50 000;63 750;80 000
03.1.1.8.0.003;Tuyauteries d'alimentation type PPR, y compris  accessoires de pose et de raccordement (Ø25);ml;5 500;6 500;7 500
03.1.1.8.0.004;Tuyauteries d'alimentation type PPR, y compris  accessoires de pose et de raccordement (Ø32);ml;5 500;6 500;7 500
03.1.1.8.0.005;Tuyauteries d'alimentation type PPR, y compris  accessoires de pose et de raccordement (Ø63);ml;6 000;7 335;8 500
03.1.1.8.0.006;Tuyauteries d'évacuation type PVC, y compris  accessoires de pose et de raccordement (Ø63);ml;3 500;4 335;5 500
03.1.1.8.0.007;Tuyauteries d'évacuation type PVC, y compris  accessoires de pose et de raccordement (Ø100);ml;3 500;4 335;5 500
03.1.1.8.0.008;Tuyauteries d'évacuation type PVC, y compris  accessoires de pose et de raccordement (Ø120);ml;4 000;5 165;6 000
03.1.1.8.0.009;Tuyauteries d'évacuation type PVC, y compris  accessoires de pose et de raccordement (Ø200);ml;4 000;5 165;6 000
03.1.1.8.0.010;Ensemble de tuyauterie d'alimentation  et d'évacuation raccordé aux appareils sanitaires en prévision (douche lavabo WC);ml;650 000;833 335;1 000 000
03.1.1.8.0.011;Flexible arabe en caoutchouc;Unité;5 000;7 335;10 000
03.1.1.8.0.012;Flexible arabe en inox;Unité;5 000;9 000;15 000
03.1.1.8.0.013;Flexible blindé WC;Unité;5 000;10 665;20 000
03.1.1.8.0.014;Flexible blindé Lavabo;Unité;5 000;12 335;25 000
03.1.1.8.0.015;Fosse septique 4 usagers (fosse + drain + puisard);Unité;1 000 000;1 250 000;1 500 000
03.1.1.8.0.016;Fosse septique 6 usagers (fosse + drain + puisard);Unité;1 000 000;1 250 000;1 500 000
03.1.1.8.0.017;Fosse septique 8 usagers (fosse + drain + puisard);Unité;1 500 000;1 916 665;2 250 000
03.1.1.8.0.018;Fosse septique 10 usagers (fosse + drain + puisard);Unité;1 500 000;1 916 665;2 250 000
03.1.1.8.0.019;Fosse septique 12 usagers (fosse + drain + puisard);Unité;1 500 000;1 916 665;2 250 000
03.1.1.8.0.020;Fosse septique 15 usagers (fosse + drain + puisard);Unité;2 250 000;2 916 665;3 500 000
03.1.1.8.0.021;Fosse septique 20 usagers (fosse + drain + puisard);Unité;2 250 000;2 916 665;3 500 000
03.1.1.8.0.022;Fosse septique 30 usagers (fosse + drain + puisard);Unité;2 250 000;2 916 665;3 500 000
03.1.1.8.0.023;Fosse septique 40 usagers (fosse + drain + puisard);Unité;2 250 000;2 916 665;3 500 000
03.1.1.8.0.024;Fosse septique 60 usagers (fosse + drain + puisard);Unité;3 500 000;4 166 665;5 000 000
03.1.1.8.0.025;Fosse septique 90 usagers (fosse + drain + puisard);Unité;3 500 000;4 166 665;5 000 000
03.1.1.8.0.026;Fosse septique 150 usagers (fosse + drain + puisard);Unité;3 500 000;4 166 665;5 000 000
03.1.1.8.0.027;Fosse septique 200 usagers (fosse + drain + puisard);Unité;3 500 000;4 166 665;5 000 000
03.1.1.8.0.028;Fourniture et pose cabine de douche y compris toutes sujétions;Unité;225 000;291 665;350 000
03.1.1.8.0.029;Fourniture et pose de Baignoire y compris toutes sujétions;Unité;625 000;725 000;800 000
03.1.1.8.0.030;Fourniture et pose de Bidet y compris toutes sujétions;Unité;110 000;136 665;175 000
03.1.1.8.0.031;Fourniture et pose de Colonne orientable de douche double y compris toutes sujétions;Unité;45 000;58 335;75 000
03.1.1.8.0.032;Fourniture et pose de Colonne orientable de douche y compris toutes sujétions;Unité;17 500;20 835;25 000
03.1.1.8.0.033;Fourniture et pose de Glace de lavabo y compris toutes sujétions;Unité;20 000;25 835;32 500
03.1.1.8.0.034;Fourniture et pose de Gouttière en PVC y compris toutes sujétions;ml;6 000;7 335;8 500
03.1.1.8.0.035;Fourniture et pose de jacuzzi y compris toutes sujétions;Unité;1 500 000;1 933 335;2 500 000
03.1.1.8.0.036;Fourniture et pose de lavabo  complet  de 40 y compris toutes sujétions;Unité;95 000;117 000;130 000
03.1.1.8.0.037;Fourniture et pose de lavabo  complet  de 60 y compris toutes sujétions;Unité;95 000;117 000;130 000
03.1.1.8.0.038;Fourniture et pose de lavabo  complet  de 80 y compris toutes sujétions;Unité;110 000;128 335;150 000
03.1.1.8.0.039;Fourniture et pose de lavabo complet de 40 sur console y compris toutes sujétions;Unité;95 000;121 000;150 000
03.1.1.8.0.040;Fourniture et pose de lavabo complet de 60 sur console y compris toutes sujétions;Unité;95 000;121 000;150 000
03.1.1.8.0.041;Fourniture et pose de lavabo complet de 80 sur console y compris toutes sujétions;Unité;110 000;136 665;175 000
03.1.1.8.0.042;Fourniture et pose de lavabo meuble  complet de 120 y compris toutes sujétions;Unité;150 000;181 665;225 000
03.1.1.8.0.043;Fourniture et pose de lavabo meuble  complet de 180 y compris toutes sujétions;Unité;225 000;283 335;350 000
03.1.1.8.0.044;Fourniture et pose de lavabo meuble  complet de 200 y compris toutes sujétions;Unité;225 000;287 500;350 000
03.1.1.8.0.045;Fourniture et pose de Lave-main double bac en béton armé y compris toutes sujétions;Unité;37 500;47 500;60 000
03.1.1.8.0.046;Fourniture et pose de robinet mitiger y compris toutes sujétions;Unité;25 000;28 335;35 000
03.1.1.8.0.047;Fourniture et pose de robinet mélangeur y compris toutes sujétions;Unité;12 500;15 000;17 500
03.1.1.8.0.048;Fourniture et pose de porte papier hygiénique y compris toutes sujétions;Unité;6 500;8 000;10 000
03.1.1.8.0.049;Fourniture et pose de porte savon y compris toutes sujétions;Unité;6 500;8 000;10 000
03.1.1.8.0.050;Fourniture et pose de porte serviette y compris toutes sujétions;Unité;6 500;8 000;10 000
03.1.1.8.0.051;Fourniture et pose de receveur de douche y compris toutes sujétions;Unité;65 000;83 335;100 000
03.1.1.8.0.052;Fourniture et pose de siphon de sol y compris toutes sujétions;Unité;4 500;5 835;7 500
03.1.1.8.0.053;Fourniture et pose de Tonnelet de 100L avec robinet au-dessus des lavabos y compris toutes sujétions;Unité;275 000;341 665;400 000
03.1.1.8.0.054;Fourniture et pose de réservoir d'eau en plastique (polytank ou équivalent) de 1000l y compris accessoires de pose;Unité;450 000;516 665;600 000
03.1.1.8.0.055;Fourniture et pose de réservoir d'eau en plastique (polytank)  de 2000l y compris accessoires de pose;Unité;500 000;600 000;700 000
03.1.1.8.0.056;Fourniture et pose de réservoir d'eau en plastique (polytank) de 5000l y compris accessoires de pose;Unité;700 000;850 000;1 000 000
03.1.1.8.0.057;Fourniture et pose de tuyauterie d'évacuation des eaux de pluie y compris toutes sujétions;Unité;6 500;8 165;10 500
03.1.1.8.0.058;Fourniture et pose de Urinoir y compris toutes sujétions;Unité;65 000;80 000;95 000
03.1.1.8.0.059;Fourniture et pose de vidoirs y compris toutes sujétions;Unité;65 000;80 000;95 000
03.1.1.8.0.060;Fourniture et pose de WC à la turc y compris toutes sujétions;Unité;135 000;173 335;210 000
03.1.1.8.0.061;Fourniture et pose de WC à l'anglaise chasse basse poussoir double y compris toutes sujétions;Unité;135 000;173 335;210 000
03.1.1.8.0.062;Fourniture et pose de WC à l'anglaise chasse basse poussoir simple y compris toutes sujétions;Unité;135 000;173 335;210 000
03.1.1.8.0.063;Fourniture et pose de WC à l'anglaise chasse basse tirette y compris toutes sujétions;Unité;135 000;173 335;210 000
03.1.1.8.0.064;Fourniture et pose d'évier double bac pour cuisine en acier inoxydable avec accessoires y compris toutes sujétions;Unité;75 000;95 000;110 000
03.1.1.8.0.065;Fourniture et pose d'évier double bac pour cuisine en porcelaine avec accessoires y compris toutes sujétions;Unité;95 000;123 335;150 000
03.1.1.8.0.066;Fourniture et pose d'évier un bac en acier inoxydable y compris toutes sujétions;Unité;50 000;61 665;75 000
03.1.1.8.0.067;Fourniture et pose d'évier un bac en porcelaine y compris toutes sujétions;Unité;75 000;85 000;95 000
03.1.1.8.0.068;Regard  d'évacuation 100x100x50 cm avec couvercle en béton armé y compris toutes sujétions;Unité;25 000;31 665;40 000
03.1.1.8.0.069;Regard  d'évacuation 100x100x50 cm en agglos pleins de 10x20x40 avec couvercle en béton y compris toutes sujétions;Unité;25 000;31 665;40 000
03.1.1.8.0.070;Regard de visite EU/EV 40x40x40 avec dalle de couverture en béton armé y compris toutes sujétions;Unité;17 500;20 835;25 000
03.1.1.8.0.071;Tuyaux PVC de Ø=100 avec grillage anti-moustiquaire pour ventilation des fosses y compris toutes sujétions;ml;4 500;5 835;7 500
03.1.1.9;REVETEMENT-CARRELAGE-ETANCHEITE;;;;
03.1.1.9.0.001;Fourniture et pose de carreaux grés cérame mât 10x60;m²;12 500;16 000;20 500
03.1.1.9.0.002;Fourniture et pose de carreaux grés cérame mât 15x15;m²;12 500;16 000;20 500
03.1.1.9.0.003;Fourniture et pose de carreaux grés cérame mât 20x20;m²;12 500;16 000;20 500
03.1.1.9.0.004;Fourniture et pose de carreaux grés cérame mât 20x30;m²;12 500;16 000;20 500
03.1.1.9.0.005;Fourniture et pose de carreaux grés cérame mât 30x30;m²;12 500;16 000;20 500
03.1.1.9.0.006;Fourniture et pose de carreaux grés cérame mât 40x40;m²;15 500;18 500;22 500
03.1.1.9.0.007;Fourniture et pose de carreaux grés cérame  mât 50x50;m²;15 500;18 500;22 500
03.1.1.9.0.008;Fourniture et pose de carreaux grés cérame mât 60x60;m²;15 500;18 500;22 500
03.1.1.9.0.009;Fourniture et pose de carreaux grés cérame émaillé 10x60;m²;12 500;16 000;20 500
03.1.1.9.0.010;Fourniture et pose de carreaux grés cérame émaillé  15x15;m²;12 500;16 000;20 500
03.1.1.9.0.011;Fourniture et pose de carreaux grés cérame émaillé  20x20;m²;12 500;16 000;20 500
03.1.1.9.0.012;Fourniture et pose de carreaux grés cérame émaillé 20x30;m²;12 500;16 000;20 500
03.1.1.9.0.013;Fourniture et pose de carreaux grés cérame émaillé 30x30;m²;12 500;16 000;20 500
03.1.1.9.0.014;Fourniture et pose de carreaux grés cérame émaillé 40x40;m²;15 500;18 500;22 500
03.1.1.9.0.015;Fourniture et pose de carreaux grés cérame  émaillé 50x50;m²;15 500;18 500;22 500
03.1.1.9.0.016;Fourniture et pose de carreaux grés cérame émaillé  60x60;m²;15 500;18 500;22 500
03.1.1.9.0.017;Fourniture et pose de carreaux grés cérame antidérapant 20x20;m²;12 500;16 000;20 500
03.1.1.9.0.018;Fourniture et pose de carreaux grés cérame antidérapant 20x30;m²;12 500;16 000;20 500
03.1.1.9.0.019;Fourniture et pose de carreaux grés cérame antidérapant 30x30;m²;12 500;16 000;20 500
03.1.1.9.0.020;Fourniture et pose de carreaux grés cérame antidérapant 40x40;m²;15 500;18 500;22 500
03.1.1.9.0.021;Fourniture et pose de carreaux grés cérame antidérapant 50x50;m²;15 500;18 500;22 500
03.1.1.9.0.022;Fourniture et pose de carreaux grés cérame antidérapant 60x60;m²;15 500;18 500;22 500
03.1.1.9.0.023;Fourniture et pose de carreaux grés cérame polis  10x60;m²;22 500;26 665;32 500
03.1.1.9.0.024;Fourniture et pose de carreaux grés cérame polis 15x15;m²;22 500;26 665;32 500
03.1.1.9.0.025;Fourniture et pose de carreaux grés cérame polis  20x20;m²;22 500;26 665;32 500
03.1.1.9.0.026;Fourniture et pose de carreaux grés cérame polis 20x30;m²;22 500;26 665;32 500
03.1.1.9.0.027;Fourniture et pose de carreaux grés cérame polis  30x30;m²;22 500;26 665;32 500
03.1.1.9.0.028;Fourniture et pose de carreaux grés cérame polis  40x40;m²;22 500;26 665;32 500
03.1.1.9.0.029;Fourniture et pose de carreaux grés cérame polis  50x50;m²;22 500;26 665;32 500
03.1.1.9.0.030;Fourniture et pose de carreaux grés cérame polis  60x60;m²;22 500;26 665;32 500
03.1.1.9.0.031;Fourniture et pose de carreaux faïence10x10;m²;10 500;13 500;17 500
03.1.1.9.0.032;Fourniture et pose de carreaux faïence 15x15;m²;10 500;13 500;17 500
03.1.1.9.0.033;Fourniture et pose de carreaux faïence 20x20;m²;10 500;13 500;17 500
03.1.1.9.0.034;Fourniture et pose de carreaux faïence 20x30;m²;10 500;13 500;17 500
03.1.1.9.0.035;Fourniture et pose de carreaux faïence 30x30;m²;10 500;13 500;17 500
03.1.1.9.0.036;Fourniture et pose de carreaux faïence 40x40;m²;10 500;13 500;17 500
03.1.1.9.0.037;Fourniture et pose de bitume pour étanchéité multicouche y compris toutes sujétions;m²;12 500;15 000;17 500
03.1.1.9.0.038;Fourniture et pose de complexe d'étanchéité avec surface de finition en irène y compris toutes sujétions;m²;25 000;30 000;35 000
03.1.1.9.0.039;Fourniture et pose d'étanchéité en paxalumin y compris toutes sujétions;m²;9 500;12 335;15 000
03.1.1.10;CHARPENTE COUVERTURE;;;;
03.1.1.10.0.001;Confection, Fourniture et pose des platines pour fixation des IPN y compris toute sujétion;Unité;17 500;20 835;25 000
03.1.1.10.0.002;Fourniture et pose de  crochet complet;Unité;500;635;750
03.1.1.10.0.003;Fourniture et pose de Tôle Faitière;m²;8 500;11 000;13 500
03.1.1.10.0.004;Fourniture et pose de bande feutre bitumineux sur panne;ml;2 500;3 250;4 000
03.1.1.10.0.005;Fourniture et pose de charpente bois rouge en chevron 8x8;ml;3 500;4 500;5 500
03.1.1.10.0.006;Fourniture et pose de charpente en basting;ml;12 500;15 165;17 500
03.1.1.10.0.007;Fourniture et pose de ferme métallique en cornière accolée de 40;ml;75 000;86 665;100 000
03.1.1.10.0.008;Fourniture et pose de couverture en tôle bac  galva 35/100 quatre ondulations y compris toutes sujétions de pose;m²;8 500;10 335;12 500
03.1.1.10.0.009;Fourniture et pose de couverture en tôle bac  galva 35/100 trois ondulations y compris toutes sujétions de pose y compris toutes sujétions de pose;m²;8 500;10 335;12 500
03.1.1.10.0.010;Fourniture et pose de couverture en tôle bac alu 35/100 quatre ondulations y compris toutes sujétions de pose;m²;8 500;10 335;12 500
03.1.1.10.0.011;Fourniture et pose de couverture en tôle bac alu 35/100 trois ondulations y compris toutes sujétions de pose;m²;8 500;10 335;12 500
03.1.1.10.0.012;Fourniture et pose de couverture en tôle bac alu 60/100 quatre ondulations y compris toutes sujétions de pose;m²;11 000;12 500;14 000
03.1.1.10.0.013;Fourniture et pose de couverture en tôle bac alu 60/100 trois ondulations y compris toutes sujétions de pose;m²;11 000;12 500;14 000
03.1.1.10.0.014;Fourniture et pose de couverture en tôle bac alu zinc 35/100 quatre ondulations y compris toutes sujétions de pose;m²;11 000;12 500;14 000
03.1.1.10.0.015;Fourniture et pose de couverture en tôle bac alu zinc 35/100 trois ondulations y compris toutes sujétions de pose;m²;11 000;12 500;14 000
03.1.1.10.0.016;Fourniture et pose de couverture en tôle bac alu zinc 60/100 quatre ondulations y compris toutes sujétions de pose;m²;12 500;14 665;17 500
03.1.1.10.0.017;Fourniture et pose de couverture en tôle bac alu zinc 60/100 trois ondulations y compris toutes sujétions de pose;m²;12 500;14 665;17 500
03.1.1.10.0.018;Fourniture et pose de couverture en tôle bac translucide 60/100 quatre ondulations y compris toutes sujétions de pose;m²;12 500;14 665;17 500
03.1.1.10.0.019;Fourniture et pose de couverture en tôle ondulée y compris toutes sujétions de pose;m²;5 500;7 000;8 500
03.1.1.10.0.020;Fourniture et pose de couverture en tôle prélaquée 60/100 quatre ondulations y compris toutes sujétions de pose;m²;12 500;14 665;17 500
03.1.1.10.0.021;Fourniture et pose de couverture en tôle prélaquée 60/100 trois ondulations y compris toutes sujétions de pose;m²;12 500;14 665;17 500
03.1.1.10.0.022;Fourniture et pose de couverture tôle en panneau sandwich de 5cm d'épaisseur y compris toutes sujétions de pose;m²;27 500;34 165;40 000
03.1.1.10.0.023;Fourniture et pose de couverture en tuile cuite;m²;22 500;27 500;32 500
03.1.1.10.0.024;Fourniture et pose de couverture tuile métallique prélaquée 60/100 y compris toutes sujétions de pose;m²;12 500;14 665;17 500
03.1.1.10.0.025;Fourniture et pose de Faîtière en tôle translucide;Unité;25 000;31 665;40 000
03.1.1.10.0.026;Fourniture et pose de panne en IPE 100  traité de l'antirouille;ml;12 500;13 665;15 000
03.1.1.10.0.027;Fourniture et pose de panne en IPE 100 traité de l'antirouille;Kg;2 250;2 665;3 250
03.1.1.10.0.028;Fourniture et pose de panne en IPE 80  traité à l'anti rouille;ml;8 500;10 500;13 000
03.1.1.10.0.029;Fourniture et pose de panne en IPE 80 traité à l'anti rouille;Kg;2 250;2 665;3 250
03.1.1.10.0.030;Fourniture et pose de panne en IPE de 120  traité à l'anti rouille;ml;12 000;14 835;17 500
03.1.1.10.0.031;Fourniture et pose de panne en IPE de 120 traité à l'anti rouille;Kg;2 250;2 665;3 250
03.1.1.10.0.032;Fourniture et pose de panne en IPE de 140  traité à l'antirouille;ml;15 000;17 165;19 000
03.1.1.10.0.033;Fourniture et pose de panne en IPE de 140 traité à l'antirouille;Kg;2 250;2 665;3 250
03.1.1.10.0.034;Fourniture et pose de panne en IPN 100  traité de l'antirouille;ml;10 500;12 500;15 000
03.1.1.10.0.035;Fourniture et pose de panne en IPN 100 traité de l'antirouille;Kg;2 250;2 665;3 250
03.1.1.10.0.036;Fourniture et pose de panne en IPN 80  traité à l'anti rouille;ml;8 000;9 165;11 000
03.1.1.10.0.037;Fourniture et pose de panne en IPN 80 traité à l'anti rouille;Kg;2 250;2 665;3 250
03.1.1.10.0.038;Fourniture et pose de panne en IPN de 120  traité à l'anti rouille;ml;12 000;13 500;15 000
03.1.1.10.0.039;Fourniture et pose de panne en IPN de 120 traité à l'anti rouille;Kg;2 250;2 665;3 250
03.1.1.10.0.040;Fourniture et pose de panne en IPN de 140  traité à l'antirouille;ml;15 000;16 500;18 000
03.1.1.10.0.041;Fourniture et pose de panne en IPN de 140 traité à l'antirouille;Kg;2 250;2 665;3 250
03.1.1.10.0.042;Fourniture et pose de panne en tube métallique rectangulaire de 100x60 d'épaisseur 3 mm traité de l'antirouille;ml;14 000;17 335;20 500
03.1.1.10.0.043;Fourniture et pose de panne en tube métallique rectangulaire de 60x60 cm d'épaisseur 3 mm traité de l'antirouille;ml;12 500;14 665;17 500
03.1.1.10.0.044;Fourniture et pose de panne en tube métallique rectangulaire de 60x80 d'épaisseur 3 mm  traité de l'antirouille;ml;14 000;17 335;20 500
03.1.1.10.0.045;Fourniture et pose de panne en tube métallique rectangulaire de 80x40 d'épaisseur 3 mm  traité de l'antirouille;ml;12 500;14 665;17 500
03.1.1.11;PEINTURE;;;;
03.1.1.11.0.001;Enduit plâtre;m²;3 000;3 500;4 500
03.1.1.11.0.002;Enduit ciment (mélange de peinture à eau et ciment);m²;2 000;2 500;3 000
03.1.1.11.0.003;Enduit tyrolien;m²;2 000;2 500;3 000
03.1.1.11.0.004;Enduit extérieur esthétique sur armature constituée de grillage « à cage à poule» ou revêtements en quartz;m²;4 500;5 835;7 500
03.1.1.11.0.005;Peinture à eau;m²;2 500;3 165;4 000
03.1.1.11.0.006;Peinture acrylique (à eau lavable);m²;3 500;4 500;5 500
03.1.1.11.0.007;Peinture vinylique;m²;3 500;4 500;5 500
03.1.1.11.0.008;Peinture à huile;m²;3 500;4 500;5 500
03.1.1.11.0.009;Peinture glycérophtalique;m²;4 500;5 665;7 000
